Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
IBM BOB 2 - Workforce,2026-03,EMP7883,IT,IT,Revenue Analyst,PNG01,QLD,Queensland Operations,15621.61,2245.29,1600.76,1998.59,21466.25,154.2,62.1,tickets_resolved,159,563141.68,135.01,High,High overtime,Review allocation / approve exception,TXN005384,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7215,IT,IT,Controller,NZL01,FIN,Finance & Accounting,5572.01,356.95,1579.8,5516.28,13025.04,165.7,68.6,tickets_resolved,82,345404.7,158.84,Medium,Contractor dependency,Review allocation / approve exception,TXN005385,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5962,IT,IT,Revenue Analyst,AUS01,HR,Human Resources,14477.62,0,913.39,14509.05,29900.06,171.7,64.3,tickets_resolved,161,534738.8,185.71,Low,None,No action,TXN005386,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6347,Finance,Finance,Sales Manager,FJI01,IT,Information Technology,19175.62,296.38,2836.89,0,22308.89,162.4,64.2,close_tasks,286,268477.81,78.0,Low,Low utilisation high cost,Review allocation / approve exception,TXN005387,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3211,Commercial,Commercial,Controller,NZL01,IT,Information Technology,9282.0,2341.03,2049.1,8918.68,22590.81,144.0,93.0,revenue_cases,63,609198.01,358.58,Low,High overtime,Review allocation / approve exception,TXN005388,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7731,IT,IT,Procurement Specialist,AUS01,R&D,Research & Development,5650.09,1064.06,867.04,0,7581.19,142.4,87.1,tickets_resolved,119,733391.1,63.71,Low,Low utilisation high cost,Review allocation / approve exception,TXN005389,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6255,Operations,Operations,Operations Planner,FJI01,CORP,Corporate Head Office,8244.73,973.7,2008.87,0,11227.3,164.4,92.3,flights_supported,127,654473.93,88.4,Low,Contractor dependency,Review allocation / approve exception,TXN005390,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5220,IT,IT,Customer Service Lead,FJI01,CORP,Corporate Head Office,19471.83,181.2,2987.76,0,22640.79,163.9,82.7,tickets_resolved,96,615438.64,235.84,Low,Low utilisation high cost,Review allocation / approve exception,TXN005391,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5211,Customer Care,Customer Care,Sales Manager,FJI01,HR,Human Resources,19115.07,433.79,1545.48,1101.94,22196.28,176.6,74.5,cases_resolved,132,633545.47,168.15,Medium,None,No action,TXN005392,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5271,Commercial,Commercial,Revenue Analyst,PNG01,QLD,Queensland Operations,18231.22,1072.36,2242.48,7693.34,29239.4,143.9,63.6,revenue_cases,149,196106.3,196.24,Medium,High overtime,Review allocation / approve exception,TXN005393,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9808,Operations,Operations,FP&A Manager,AUS01,NSW,New South Wales Operations,10092.7,0,1031.89,0,11124.59,165.2,86.9,flights_supported,178,320897.75,62.5,High,High overtime,Review allocation / approve exception,TXN005394,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6037,Commercial,Commercial,Sales Manager,NZL01,NSW,New South Wales Operations,9830.51,2334.04,861.4,0,13025.95,162.1,68.0,revenue_cases,243,34550.25,53.6,High,Low utilisation high cost,Review allocation / approve exception,TXN005395,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6480,Finance,Finance,Sales Manager,FJI01,SA,South Australia Operations,14485.38,309.96,1145.03,0,15940.37,132.9,89.2,close_tasks,206,22504.64,77.38,Low,None,No action,TXN005396,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3063,FP&A,FP&A,Finance Analyst,AUS01,ACT,Australian Capital Territory,10151.41,0,594.37,622.31,11368.09,175.5,69.2,forecast_models,41,446247.4,277.27,High,Low utilisation high cost,Review allocation / approve exception,TXN005397,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7074,Operations,Operations,Operations Planner,AUS01,MKT,Marketing & Sales,10390.15,0,2813.63,5748.09,18951.87,143.2,64.3,flights_supported,57,263910.07,332.49,Low,Low utilisation high cost,Review allocation / approve exception,TXN005398,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8516,Customer Care,Customer Care,Finance Analyst,PNG01,IT,Information Technology,9026.83,0,707.8,14365.81,24100.44,138.5,97.9,cases_resolved,222,544213.52,108.56,High,Contractor dependency,Review allocation / approve exception,TXN005399,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5340,IT,IT,Data Engineer,NZL01,OPS,Operations & Logistics,17673.11,1332.14,1377.0,0,20382.25,134.7,77.4,tickets_resolved,84,156857.54,242.65,Low,Contractor dependency,Review allocation / approve exception,TXN005400,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5123,Customer Care,Customer Care,Operations Planner,AUS01,SA,South Australia Operations,18695.4,0,1228.81,11594.2,31518.41,176.6,91.8,cases_resolved,116,411942.36,271.71,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005401,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1778,Commercial,Commercial,Controller,NZL01,FIN,Finance & Accounting,9554.02,737.87,2617.77,1207.58,14117.24,167.7,89.6,revenue_cases,52,584415.8,271.49,High,None,No action,TXN005402,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8658,Operations,Operations,Finance Analyst,AUS01,WA,Western Australia Operations,19801.89,294.64,643.08,0,20739.61,149.6,70.0,flights_supported,72,390520.51,288.05,Low,Low utilisation high cost,Review allocation / approve exception,TXN005403,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6083,Operations,Operations,Procurement Specialist,NZL01,TAS,Tasmania Operations,7951.41,0,874.8,0,8826.21,179.9,85.2,flights_supported,246,90040.75,35.88,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005404,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8068,Sales,Sales,Revenue Analyst,NZL01,SA,South Australia Operations,9100.21,1048.96,1277.83,0,11427.0,128.7,82.5,deals_supported,198,111357.14,57.71,Medium,None,No action,TXN005405,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9545,FP&A,FP&A,Sales Manager,FJI01,MKT,Marketing & Sales,15813.23,1471.51,1700.65,0,18985.39,137.2,73.6,forecast_models,138,44633.87,137.58,High,Low utilisation high cost,Review allocation / approve exception,TXN005406,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9469,Procurement,Procurement,Customer Service Lead,FJI01,IT,Information Technology,18967.45,2008.09,1286.66,0,22262.2,165.3,93.5,pos_processed,227,370872.39,98.07,High,Contractor dependency,Review allocation / approve exception,TXN005407,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6341,Customer Care,Customer Care,Operations Planner,FJI01,WA,Western Australia Operations,5574.04,2126.39,1253.16,2858.59,11812.18,158.1,97.3,cases_resolved,52,630835.95,227.16,Low,None,No action,TXN005408,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9488,IT,IT,Data Engineer,AUS01,NT,Northern Territory Operations,9377.55,256.63,549.14,0,10183.32,155.3,68.8,tickets_resolved,47,113265.45,216.67,Medium,None,No action,TXN005409,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2438,Commercial,Commercial,Revenue Analyst,FJI01,SA,South Australia Operations,14433.94,1108.51,1203.76,3097.21,19843.42,162.3,63.5,revenue_cases,66,50868.21,300.66,High,High overtime,Review allocation / approve exception,TXN005410,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1103,Operations,Operations,Procurement Specialist,FJI01,IT,Information Technology,12083.88,2276.52,2668.15,4581.13,21609.68,158.6,73.5,flights_supported,190,688464.4,113.74,Medium,Contractor dependency,Review allocation / approve exception,TXN005411,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9844,Commercial,Commercial,Revenue Analyst,NZL01,MKT,Marketing & Sales,17421.32,0,1703.79,5902.19,25027.3,144.9,64.1,revenue_cases,148,147896.66,169.1,High,High overtime,Review allocation / approve exception,TXN005412,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7678,Customer Care,Customer Care,Data Engineer,AUS01,NSW,New South Wales Operations,9388.94,758.68,1052.19,0,11199.81,141.2,61.9,cases_resolved,289,140790.02,38.75,Low,Low utilisation high cost,Review allocation / approve exception,TXN005413,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9871,IT,IT,Operations Planner,NZL01,ACT,Australian Capital Territory,5654.88,0,2895.18,14364.77,22914.83,153.6,61.7,tickets_resolved,180,691008.49,127.3,Medium,None,No action,TXN005414,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7502,Commercial,Commercial,Finance Analyst,PNG01,MKT,Marketing & Sales,16111.97,1562.06,1379.58,8686.41,27740.02,176.8,96.7,revenue_cases,44,65350.52,630.46,High,None,No action,TXN005415,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3613,Procurement,Procurement,Customer Service Lead,AUS01,HR,Human Resources,13796.59,0,2174.99,8095.1,24066.68,142.9,75.7,pos_processed,52,611069.78,462.82,Medium,Contractor dependency,Review allocation / approve exception,TXN005416,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3042,Operations,Operations,Customer Service Lead,PNG01,NT,Northern Territory Operations,14067.8,358.51,1946.57,3461.32,19834.2,177.7,59.9,flights_supported,191,396189.05,103.84,Low,None,No action,TXN005417,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1929,Procurement,Procurement,Operations Planner,NZL01,NT,Northern Territory Operations,18710.09,182.39,2342.26,0,21234.74,180.9,73.2,pos_processed,184,540080.17,115.41,Medium,Contractor dependency,Review allocation / approve exception,TXN005418,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2532,FP&A,FP&A,FP&A Manager,FJI01,MKT,Marketing & Sales,10627.95,0,2747.36,0,13375.31,141.0,62.5,forecast_models,263,120416.61,50.86,High,None,No action,TXN005419,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1228,Operations,Operations,Procurement Specialist,PNG01,ACT,Australian Capital Territory,9494.07,195.19,2679.1,0,12368.36,158.3,95.6,flights_supported,76,474079.04,162.74,Medium,Contractor dependency,Review allocation / approve exception,TXN005420,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4166,Operations,Operations,Data Engineer,PNG01,HR,Human Resources,15516.53,1645.77,1471.03,7127.3,25760.63,127.5,90.8,flights_supported,255,640478.24,101.02,Low,Contractor dependency,Review allocation / approve exception,TXN005421,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9320,Sales,Sales,FP&A Manager,AUS01,NT,Northern Territory Operations,16838.07,0,1720.24,0,18558.31,145.4,70.9,deals_supported,48,434333.55,386.63,Low,High overtime,Review allocation / approve exception,TXN005422,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9224,Operations,Operations,Inventory Coordinator,PNG01,FIN,Finance & Accounting,14704.55,709.24,2866.73,0,18280.52,125.6,64.3,flights_supported,73,186314.9,250.42,High,None,No action,TXN005423,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4730,FP&A,FP&A,Controller,AUS01,ACT,Australian Capital Territory,7903.58,2124.29,1364.58,0,11392.45,178.5,79.2,forecast_models,133,729211.45,85.66,Medium,None,No action,TXN005424,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6110,Customer Care,Customer Care,Procurement Specialist,FJI01,NT,Northern Territory Operations,19182.72,667.78,1250.28,4629.54,25730.32,180.1,56.2,cases_resolved,193,555522.86,133.32,Medium,High overtime,Review allocation / approve exception,TXN005425,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3693,Operations,Operations,Data Engineer,FJI01,QLD,Queensland Operations,11490.07,0,2240.86,14759.77,28490.7,150.5,69.9,flights_supported,166,122254.41,171.63,High,Low utilisation high cost,Review allocation / approve exception,TXN005426,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8038,Commercial,Commercial,Sales Manager,FJI01,TAS,Tasmania Operations,14945.75,1349.29,601.94,0,16896.98,150.1,80.7,revenue_cases,268,127342.38,63.05,High,Low utilisation high cost,Review allocation / approve exception,TXN005427,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7389,Commercial,Commercial,Inventory Coordinator,FJI01,VIC,Victoria Operations,17365.67,1628.58,1102.61,0,20096.86,167.7,88.3,revenue_cases,134,367106.82,149.98,Medium,High overtime,Review allocation / approve exception,TXN005428,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6462,Sales,Sales,Operations Planner,PNG01,QLD,Queensland Operations,7037.76,878.57,2651.64,3348.78,13916.75,123.0,56.7,deals_supported,86,299616.74,161.82,Low,High overtime,Review allocation / approve exception,TXN005429,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9639,Sales,Sales,Controller,NZL01,NSW,New South Wales Operations,10422.66,0,2474.58,0,12897.24,122.2,62.3,deals_supported,49,731497.33,263.21,Low,High overtime,Review allocation / approve exception,TXN005430,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2725,FP&A,FP&A,Inventory Coordinator,NZL01,WA,Western Australia Operations,10022.16,2452.42,2222.95,10546.45,25243.98,151.0,80.4,forecast_models,287,99837.42,87.96,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005431,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5509,Operations,Operations,Revenue Analyst,PNG01,QLD,Queensland Operations,9036.99,2089.23,901.24,4461.61,16489.07,147.6,85.0,flights_supported,235,107586.64,70.17,High,None,No action,TXN005432,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5450,Sales,Sales,Sales Manager,PNG01,CORP,Corporate Head Office,10685.39,0,1543.17,11511.84,23740.4,165.5,83.0,deals_supported,146,654233.79,162.61,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005433,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5597,Sales,Sales,Operations Planner,NZL01,NSW,New South Wales Operations,9859.94,11.89,1405.42,2872.7,14149.95,129.3,84.8,deals_supported,149,513332.02,94.97,Low,Low utilisation high cost,Review allocation / approve exception,TXN005434,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8542,Commercial,Commercial,Finance Analyst,NZL01,OPS,Operations & Logistics,8980.17,873.64,2093.52,927.85,12875.18,152.9,81.0,revenue_cases,105,173473.8,122.62,High,Contractor dependency,Review allocation / approve exception,TXN005435,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5409,Customer Care,Customer Care,Inventory Coordinator,PNG01,CORP,Corporate Head Office,9900.65,1885.72,1408.04,0,13194.41,148.7,82.7,cases_resolved,194,628371.93,68.01,Medium,Contractor dependency,Review allocation / approve exception,TXN005436,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2898,Procurement,Procurement,Customer Service Lead,FJI01,WA,Western Australia Operations,14974.09,0,2332.85,0,17306.94,158.5,97.5,pos_processed,73,449427.44,237.08,High,High overtime,Review allocation / approve exception,TXN005437,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3396,Sales,Sales,Customer Service Lead,FJI01,TAS,Tasmania Operations,6946.2,2108.86,2477.39,0,11532.45,136.1,92.5,deals_supported,84,766995.74,137.29,High,Contractor dependency,Review allocation / approve exception,TXN005438,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7088,Customer Care,Customer Care,Finance Analyst,PNG01,IT,Information Technology,9747.57,1970.03,1736.2,0,13453.8,123.6,61.6,cases_resolved,233,776401.41,57.74,High,None,No action,TXN005439,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4953,FP&A,FP&A,Controller,PNG01,VIC,Victoria Operations,11690.6,2114.39,2767.5,1053.6,17626.09,158.7,90.4,forecast_models,148,291781.04,119.1,Low,High overtime,Review allocation / approve exception,TXN005440,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1518,Sales,Sales,Procurement Specialist,FJI01,IT,Information Technology,18025.53,0,933.77,8648.42,27607.72,136.7,79.3,deals_supported,179,392228.24,154.23,Low,Low utilisation high cost,Review allocation / approve exception,TXN005441,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1750,Operations,Operations,FP&A Manager,PNG01,R&D,Research & Development,10151.72,0,922.78,0,11074.5,138.1,66.6,flights_supported,156,791955.24,70.99,High,None,No action,TXN005442,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3746,Commercial,Commercial,Revenue Analyst,NZL01,MKT,Marketing & Sales,8674.28,0,2590.56,12869.86,24134.7,174.2,67.8,revenue_cases,164,302400.85,147.16,Medium,None,No action,TXN005443,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2061,Finance,Finance,Revenue Analyst,FJI01,NSW,New South Wales Operations,12864.8,1248.59,794.09,0,14907.48,171.9,85.1,close_tasks,280,215923.76,53.24,Medium,None,No action,TXN005444,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9336,Sales,Sales,FP&A Manager,PNG01,R&D,Research & Development,14119.16,487.06,741.37,92.66,15440.25,172.8,56.5,deals_supported,286,224115.38,53.99,Low,High overtime,Review allocation / approve exception,TXN005445,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3664,Sales,Sales,Inventory Coordinator,PNG01,NSW,New South Wales Operations,14980.54,0,1800.78,9569.22,26350.54,165.4,74.6,deals_supported,113,65089.13,233.19,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005446,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5776,FP&A,FP&A,Revenue Analyst,AUS01,OPS,Operations & Logistics,14609.02,886.94,1086.54,0,16582.5,176.3,86.5,forecast_models,183,273649.37,90.61,Medium,None,No action,TXN005447,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1248,FP&A,FP&A,Operations Planner,AUS01,FIN,Finance & Accounting,5909.03,1254.03,967.03,0,8130.09,174.1,95.7,forecast_models,128,437762.18,63.52,Medium,Contractor dependency,Review allocation / approve exception,TXN005448,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1784,FP&A,FP&A,Data Engineer,PNG01,MKT,Marketing & Sales,19330.99,1656.56,1169.71,0,22157.26,166.2,91.8,forecast_models,90,683543.55,246.19,Medium,None,No action,TXN005449,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4572,Finance,Finance,Inventory Coordinator,AUS01,ACT,Australian Capital Territory,8148.51,0,2864.84,0,11013.35,179.7,88.3,close_tasks,63,587185.64,174.82,High,None,No action,TXN005450,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4329,FP&A,FP&A,Procurement Specialist,FJI01,SA,South Australia Operations,17415.21,1724.64,2423.77,0,21563.62,176.6,61.8,forecast_models,264,488486.02,81.68,High,High overtime,Review allocation / approve exception,TXN005451,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6704,Customer Care,Customer Care,Inventory Coordinator,NZL01,MKT,Marketing & Sales,14859.15,1815.54,1235.11,3819.6,21729.4,139.0,88.2,cases_resolved,56,102730.07,388.02,High,None,No action,TXN005452,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
